parent_document_id,document_id,HaveSeenImages,accumulated_accuracy,all_accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,failed_audio,failed_images,failed_video,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timeout,timepassed_mins,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
67ed4e79983b8a8ba5517548,KPLEKDV9c0bm6zrIJIfR,,0.8737373737373737,,,,,2,r,False,,,,f,F,3,,,,,768,67ed4e79983b8a8ba5517548,1 (2344).jpg,0.0-19.0-1.0-0.41,0,True,,0,False,,False,False,,False,False,,0,0,4,7,,,1,,,,0,j,,778,6814b07fa9fcffe154205df7,images/1 (2344).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,finalTest,,0,0,198,1926447,,32.15,963,image-keyboard-response,,,,final Foil,,,,1366
67ed4e79983b8a8ba5517548,KSviAhqljIZSZKbCDIdB,,0.8125,,,,,2,r,True,True,True,,j,T_target,3,,,,,768,67ed4e79983b8a8ba5517548,1 (906).jpg,0.0-16.0-1.0-0.15,0,True,,0,True,,True,False,,True,True,,6,7,1,0,,,,,,,1,j,,609,6814b07fa9fcffe154205df7,images/1 (906).jpg,,Dn,,,23,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,finalTest,,28,20,16,1740204,,29.04,781,image-keyboard-response,,,,"current target, in next trial",,,,1366
67ed4e79983b8a8ba5517548,KTGjxomrWPHKCqBGhjTo,,,,False,,,2,r,,,,,,T_nontarget,3,,,,,768,67ed4e79983b8a8ba5517548,1 (354).jpg,0.0-10.0-2.0-0.4,0,True,True,0,,True,True,False,False,False,False,6,6,0,4,0,,,1,,,,,,,,6814b07fa9fcffe154205df7,images/1 (354).jpg,A,A,,5,5,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initial_study,0,0,0,188,1016395,,16.98,391,image-keyboard-response,1,0,0,"studied only, not in trial",,,,1366
67ed4e79983b8a8ba5517548,KU8lOD2v2fCyT4RUIsxC,,0.9012345679012346,,,,,2,r,True,True,True,,j,T_target,3,,,,,768,67ed4e79983b8a8ba5517548,1 (201).jpg,0.0-17.0-1.0-0.20,0,True,,0,True,,True,False,,True,True,,8,9,2,0,,,,,,,1,j,,564,6814b07fa9fcffe154205df7,images/1 (201).jpg,,Dn,,,29,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,finalTest,,20,4,81,1805282,,30.13,846,image-keyboard-response,,,,"current target, in next trial",,,,1366
67ed4e79983b8a8ba5517548,Kb6suQf0BripdDsug6b9,,0.845177664974619,,,,,2,r,True,True,True,,j,T_foil,3,,,,,768,67ed4e79983b8a8ba5517548,1 (649).jpg,0.0-23.0-1.0-0.45,0,True,,0,True,,False,False,,True,True,,3,4,8,3,,,,,,,1,j,,656,6814b07fa9fcffe154205df7,images/1 (649).jpg,,Fnn,,,0,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,finalTest,,22,15,394,2124374,,35.45,1159,image-keyboard-response,,,,"tested only, in next trial",,,,1366
67ed4e79983b8a8ba5517548,Kcmg69opinqYf9jUW7bV,,0.8881118881118881,,,,,2,r,False,,,,f,F,3,,,,,768,67ed4e79983b8a8ba5517548,1 (2007).jpg,0.0-18.0-1.0-0.34,0,True,,0,False,,False,False,,False,False,,0,0,3,0,,,1,,,,0,j,,663,6814b07fa9fcffe154205df7,images/1 (2007).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,finalTest,,0,0,143,1870004,,31.21,908,image-keyboard-response,,,,final Foil,,,,1366
67ed4e79983b8a8ba5517548,KkVafDtzcMLZ9JJs5K4X,,,,False,,,2,r,,,,,,T_target,3,,,,,768,67ed4e79983b8a8ba5517548,1 (1425).jpg,0.0-8.0-2.0-0.9,0,False,True,0,,True,True,False,True,True,False,4,4,0,,0,,,1,,,,,,,,6814b07fa9fcffe154205df7,images/1 (1425).jpg,B,B,,10,10,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initial_study,24,24,0,0,766615,,12.82,244,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
67ed4e79983b8a8ba5517548,Km1CO7UTyQn1xAj5PS2U,,0.9,,,,,2,r,True,,,,f,F,3,,,,,768,67ed4e79983b8a8ba5517548,1 (1525).jpg,0.0-17.0-1.0-0.39,0,True,,0,False,,False,False,,False,False,,0,0,2,5,,,1,,,,1,f,,1534,6814b07fa9fcffe154205df7,images/1 (1525).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,finalTest,,0,0,100,1822463,,30.41,865,image-keyboard-response,,,,final Foil,,,,1366
67ed4e79983b8a8ba5517548,KnSDe16Yo80OFczh9Gqu,,0.8333333333333334,,False,,,2,r,True,True,,,j,T_target,3,,,,,768,67ed4e79983b8a8ba5517548,1 (2151).jpg,0.0-10.0-10.0-0.5,0,True,True,0,False,True,True,False,True,True,False,6,6,False,,0,,,1,,,,1,j,,642,6814b07fa9fcffe154205df7,images/1 (2151).jpg,B,B,,22,22,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initialTest_response,6,6,0,341,1113145,,18.59,436,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
67ed4e79983b8a8ba5517548,KraUySeEQiq0G8AZrQXt,,0.8888888888888888,,,,,2,r,True,,True,,j,T_nontarget,3,,,,,768,67ed4e79983b8a8ba5517548,1 (750).jpg,0.0-16.0-1.0-0.26,0,True,,0,True,,True,False,,False,True,,7,8,1,0,,,,,,,1,j,,642,6814b07fa9fcffe154205df7,images/1 (750).jpg,,Cn,,,1,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,finalTest,,0,13,27,1752700,,29.25,792,image-keyboard-response,,,,"studied only, in next trial",,,,1366
67ed4e79983b8a8ba5517548,KuhNC1WBEU68AX0GFOBQ,,,,,,,2,r,,,,,,,3,,,,,768,67ed4e79983b8a8ba5517548,,0.0-6.0-4.0-0.0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,6814b07fa9fcffe154205df7,"<div style=""font-size:60px;"">+</div>",,,,,,,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,fixation,,,,,524039,,8.77,114,html-keyboard-response,,,,,,,,1366
67ed4e79983b8a8ba5517548,Kvhdo6Oqt5KFaWPOrAwG,,,,False,,,2,r,,,,,,T_nontarget,3,,,,,768,67ed4e79983b8a8ba5517548,1 (1196).jpg,0.0-13.0-2.0-0.25,0,True,True,0,,True,True,False,False,False,False,9,9,0,1,0,,,1,,,,,,,,6814b07fa9fcffe154205df7,images/1 (1196).jpg,A,A,,26,26,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initial_study,0,0,0,55,1458918,,24.35,640,image-keyboard-response,1,0,0,"studied only, not in trial",,,,1366
67ed4e79983b8a8ba5517548,KxpI3EHmYkkzhfWDVYyz,,,,True,,,2,r,,,,,,T_target,3,,,,,768,67ed4e79983b8a8ba5517548,1 (406).jpg,0.0-10.0-2.0-0.1,0,False,True,0,,True,True,False,True,True,True,6,6,7,,0,,,1,,,,,,,,6814b07fa9fcffe154205df7,images/1 (406).jpg,Dn+1,Dn,,2,2,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initial_study,14,14,26,0,1010036,,16.87,388,image-keyboard-response,1,1,1,"current target, in next trial",,,,1366
