parent_document_id,document_id,accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timepassed_mins,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
DEBUGV2,8BiLPfI5WRmmSNnUpKU8,,,,,2,r,,,,,,,3,,1728,DEBUGV2,,0.0-11.0-7.0-0.0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,<p background:white>INCORRECT!</p>,,,,,,,,DEBUGV2,,,promptfeedback,,,,,28896,0.49,504,html-keyboard-response,,,,,,,,2562
DEBUGV2,8ErbepLw1wxr1S33TthR,0,False,,,2,r,False,False,,,f,T_foil,3,,1728,DEBUGV2,1 (1242).jpg,0.0-5.0-10.0-0.4,0,False,True,0,False,False,False,False,True,True,False,1,1,False,,0,,,1,,,,0,,,,,images/1 (1242).jpg,Fn+1,Fn,,0,0,0,,DEBUGV2,,,initialTest_response,5,5,0,0,21613,0.37,55,image-keyboard-response,0,1,0,"tested only, not in next trial",,,,2562
DEBUGV2,8MWrmyz2JZMmZoYKHtON,0,True,,,2,r,False,False,False,,f,T_foil,3,,1728,DEBUGV2,1 (205).jpg,0.0-10.0-10.0-0.28,0,False,False,0,False,False,False,False,True,False,True,6,5,6,,0,,,2,,,,0,,,,,images/1 (205).jpg,Fnn,Fnn,,0,0,0,,DEBUGV2,,,initialTest_response,29,0,29,0,28322,0.48,459,image-keyboard-response,0,1,1,"tested only, in next trial, from last trial",,,,2562
DEBUGV2,8UFH4WGWIS668R9NtXax,,False,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (847).jpg,0.0-10.0-2.0-0.21,0,True,True,0,,True,True,False,False,False,False,6,6,0,2,0,,,1,,,,,,,,,images/1 (847).jpg,A,A,,22,22,0,,DEBUGV2,,,initial_study,0,0,0,94,27379,0.47,408,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
DEBUGV2,8buXtg98pBX7gXkmtQOr,,True,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (149).jpg,0.0-14.0-2.0-0.21,0,True,True,0,,True,True,False,False,False,False,10,10,0,10,0,,,1,,,,,,,,,images/1 (149).jpg,Cn+1,Cn,,22,22,0,,DEBUGV2,,,initial_study,0,0,0,486,32398,0.55,712,image-keyboard-response,1,0,1,"studied only, in next trial",,,,2562
DEBUGV2,8gp0qr37LFfRzRTO72uX,,,,,2,r,,,,,,,3,,1728,DEBUGV2,,0.0-14.0-4.0-0.0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:60px;"">+</div>",,,,,,,,DEBUGV2,,,fixation,,,,,32521,0.55,722,html-keyboard-response,,,,,,,,2562
DEBUGV2,8kQ5qMDus9zr8lJoyAAc,0,True,,,2,r,False,False,,,j,T_target,3,,1728,DEBUGV2,1 (1809).jpg,0.0-7.0-10.0-0.26,0,True,True,0,False,True,True,False,True,True,True,3,3,4,,0,,,1,,,,0,,,,,images/1 (1809).jpg,Dn+1,Dn,,23,23,0,,DEBUGV2,,,initialTest_response,27,27,5,257,24560,0.42,229,image-keyboard-response,1,1,1,"current target, in next trial",,,,2562
DEBUGV2,8rngAGoydON3YkDIFSbZ,,False,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (297).jpg,0.0-13.0-2.0-0.22,0,True,True,0,,True,True,False,False,False,False,9,9,0,5,0,,,1,,,,,,,,,images/1 (297).jpg,A,A,,23,23,0,,DEBUGV2,,,initial_study,0,0,0,213,31167,0.53,637,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
DEBUGV2,8v5cXP1Zcox59Pxdy4D5,0,True,,,2,r,False,False,,,f,T_foil,3,,1728,DEBUGV2,1 (252).jpg,0.0-5.0-10.0-0.19,0,True,True,0,False,False,False,False,True,True,True,1,1,2,10,0,,,1,,,,0,,,,,images/1 (252).jpg,Fnn+1,Fnn,,0,0,0,,DEBUGV2,,,initialTest_response,20,20,6,477,21952,0.38,70,image-keyboard-response,0,1,1,"tested only, in next trial",,,,2562
DEBUGV2,8wDJRH3G4PNSRxbv3f0s,0,False,,,2,r,False,False,,,j,T_target,3,,1728,DEBUGV2,1 (2090).jpg,0.0-12.0-10.0-0.9,0,True,True,0,False,True,True,False,True,True,False,8,8,False,,0,,,1,,,,0,,,,,images/1 (2090).jpg,B,B,,28,28,0,,DEBUGV2,,,initialTest_response,10,10,0,1,30388,0.52,592,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
